Student_ID,Credit_Hours,GPA,Year_Average,Result
NU1000,6,2.21,1.53,Pass
NU1001,3,1.19,1.05,Fail
NU1002,6,1.76,3.29,Fail
NU1003,6,1.74,3.42,Fail
NU1004,3,3.09,2.04,Pass
NU1005,3,3.14,2.39,Pass
NU1006,6,1.44,2.95,Fail
NU1007,4,3.99,1.14,Pass
NU1008,6,1.8,3.85,Fail
NU1009,6,3.93,3.66,Pass
NU1010,6,2.23,1.78,Pass
NU1011,6,1.1,1.05,Fail
NU1012,3,2.04,3.8,Pass
NU1013,6,2.9,2.5,Pass
NU1014,4,3.04,2.62,Pass
NU1015,3,2.59,3.05,Pass
NU1016,4,2.34,2.85,Pass
NU1017,4,2.66,3.83,Pass
NU1018,4,2.78,3.83,Pass
NU1019,4,1.24,3.6,Fail
NU1020,3,2.11,2.91,Pass
NU1021,3,1.73,3.4,Fail
NU1022,4,3.41,3.03,Pass
NU1023,4,2.41,2.72,Pass
NU1024,3,3.95,1.39,Pass
NU1025,3,2.2,3.43,Pass
NU1026,3,3.45,3.46,Pass
NU1027,6,3.4,2.88,Pass
NU1028,6,1.45,3.46,Fail
NU1029,6,2.52,2.95,Pass
NU1030,4,3.09,1.62,Pass
NU1031,6,3.58,1.82,Pass
NU1032,4,1.98,1.64,Fail
NU1033,4,1.66,2.13,Fail
NU1034,6,3.13,1.12,Pass
NU1035,4,3.43,2.85,Pass
NU1036,6,2.05,2.01,Pass
NU1037,6,1.29,2.97,Fail
NU1038,3,3.82,2.16,Pass
NU1039,6,2.19,3.04,Pass
NU1040,3,2.55,2.02,Pass
NU1041,6,3.51,1.78,Pass
NU1042,6,3.03,2.49,Pass
NU1043,3,3.21,3.08,Pass
NU1044,3,1.63,2.05,Fail
NU1045,6,2.62,3.81,Pass
NU1046,4,3.09,1.12,Pass
NU1047,3,1.69,2.25,Fail
NU1048,4,1.52,3.9,Fail
NU1049,4,3.95,2.64,Pass
NU1050,4,2.55,2.27,Pass
NU1051,3,1.78,2.71,Fail
NU1052,4,3.99,2.73,Pass
NU1053,3,3.9,3.19,Pass
NU1054,4,2.67,1.38,Pass
NU1055,6,3.65,1.75,Pass
NU1056,6,1.57,2.74,Fail
NU1057,3,1.84,3.6,Fail
NU1058,6,3.1,2.69,Pass
NU1059,6,3.54,1.72,Pass
NU1060,4,3.57,3.04,Pass
NU1061,3,2.21,3.22,Pass
NU1062,4,3.66,1.71,Pass
NU1063,4,3.55,2.13,Pass
NU1064,4,3.81,2.6,Pass
NU1065,4,3.36,2.49,Pass
NU1066,4,3.01,2.17,Pass
NU1067,4,2.74,1.89,Pass
NU1068,4,2.12,1.3,Pass
NU1069,3,3.82,1.16,Pass
NU1070,6,3.92,3.88,Pass
NU1071,4,1.85,3.54,Fail
NU1072,4,1.92,2.06,Fail
NU1073,4,2.46,3.87,Pass
NU1074,4,2.35,3.03,Pass
NU1075,4,3.98,2.45,Pass
NU1076,4,1.53,2.48,Fail
NU1077,6,1.05,1.25,Fail
NU1078,6,2.48,1.28,Pass
NU1079,4,1.54,2.81,Fail
NU1080,6,2.1,2.66,Pass
NU1081,3,3.23,1.64,Pass
NU1082,4,3.16,3.84,Pass
NU1083,3,1.92,3.34,Fail
NU1084,3,2.63,1.34,Pass
NU1085,4,2.53,3.79,Pass
NU1086,6,2.91,3.92,Pass
NU1087,3,1.75,3.99,Fail
NU1088,4,2.77,1.17,Pass
NU1089,3,3.94,3.21,Pass
NU1090,3,2.46,2.64,Pass
NU1091,3,3.72,3.12,Pass
NU1092,3,2.3,3.91,Pass
NU1093,6,2.05,3.06,Pass
NU1094,3,2.94,3.51,Pass
NU1095,3,3.01,3.6,Pass
NU1096,3,3.59,3.52,Pass
NU1097,6,1.69,2.28,Fail
NU1098,3,2.5,1.67,Pass
NU1099,3,2.72,2.19,Pass
NU1100,6,3.31,3.68,Pass
NU1101,6,1.13,1.44,Fail
NU1102,6,3.98,2.54,Pass
NU1103,3,2.41,1.7,Pass
NU1104,6,1.84,2.74,Fail
NU1105,6,3.65,3.59,Pass
NU1106,3,3.24,3.64,Pass
NU1107,6,3.86,1.71,Pass
NU1108,3,1.99,3.72,Fail
NU1109,4,2.66,2.78,Pass
NU1110,6,2.72,2.05,Pass
NU1111,4,3.94,3.12,Pass
NU1112,3,1.23,2.45,Fail
NU1113,6,1.92,2.13,Fail
NU1114,3,1.57,3.12,Fail
NU1115,4,1.81,1.75,Fail
NU1116,3,2.46,1.99,Pass
NU1117,6,2.12,2.3,Pass
NU1118,6,2.18,1.76,Pass
NU1119,4,3.53,2.22,Pass
NU1120,3,3.79,2.71,Pass
NU1121,6,1.21,3.22,Fail
NU1122,4,1.63,3.3,Fail
NU1123,6,3.01,3.47,Pass
NU1124,6,2.08,3.23,Pass
NU1125,3,1.76,3.04,Fail
NU1126,6,1.89,1.71,Fail
NU1127,3,1.97,2.2,Fail
NU1128,6,3.55,2.43,Pass
NU1129,4,1.41,1.25,Fail
NU1130,6,3.13,2.59,Pass
NU1131,3,2.66,2.31,Pass
NU1132,3,1.89,3.41,Fail
NU1133,4,2.26,3.93,Pass
NU1134,6,1.77,2.67,Fail
NU1135,6,2.83,1.97,Pass
NU1136,4,1.24,1.13,Fail
NU1137,6,1.02,3.77,Fail
NU1138,6,2.88,3.76,Pass
NU1139,3,1.58,1.76,Fail
NU1140,6,1.21,3.09,Fail
NU1141,6,2.19,1.23,Pass
NU1142,4,1.15,1.5,Fail
NU1143,4,3.66,1.65,Pass
NU1144,3,1.08,1.88,Fail
NU1145,6,2.74,3.99,Pass
NU1146,6,2.32,3.09,Pass
NU1147,6,3.02,2.15,Pass
NU1148,3,1.98,3.21,Fail
NU1149,3,1.47,3.75,Fail
NU1150,4,3.95,3.88,Pass
NU1151,3,3.52,1.17,Pass
NU1152,6,3.58,2.18,Pass
NU1153,6,1.75,1.32,Fail
NU1154,3,1.12,2.01,Fail
NU1155,6,1.91,1.51,Fail
NU1156,6,2.61,2.94,Pass
NU1157,3,1.98,2.16,Fail
NU1158,3,3.48,1.69,Pass
NU1159,6,1.81,1.8,Fail
NU1160,6,3.9,2.08,Pass
NU1161,6,2.37,1.78,Pass
NU1162,4,3.53,2.36,Pass
NU1163,4,1.58,1.1,Fail
NU1164,4,2.23,1.84,Pass
NU1165,3,3.1,2.23,Pass
NU1166,4,1.42,2.81,Fail
NU1167,3,1.4,1.81,Fail
NU1168,3,3.91,1.4,Pass
NU1169,4,3.14,1.23,Pass
NU1170,4,1.12,3.82,Fail
NU1171,4,2.2,2.25,Pass
NU1172,6,2.3,2.74,Pass
NU1173,4,3.23,3.76,Pass
NU1174,6,1.75,1.25,Fail
NU1175,3,1.55,3.63,Fail
NU1176,6,1.24,2.65,Fail
NU1177,4,2.28,1.49,Pass
NU1178,3,3.07,2.23,Pass
NU1179,3,1.17,3.33,Fail
NU1180,3,3.75,2.44,Pass
NU1181,6,2.33,3.96,Pass
NU1182,4,1.72,2.13,Fail
NU1183,3,1.28,3.25,Fail
NU1184,3,1.55,2.18,Fail
NU1185,3,3.8,3.49,Pass
NU1186,6,2.91,2.71,Pass
NU1187,6,2.55,1.19,Pass
NU1188,4,2.97,1.11,Pass
NU1189,6,2.31,1.4,Pass
NU1190,3,3.19,1.04,Pass
NU1191,4,1.14,1.23,Fail
NU1192,3,2.7,3.08,Pass
NU1193,3,1.48,2.6,Fail
NU1194,6,1.36,3.25,Fail
NU1195,4,2.03,3.74,Pass
NU1196,6,1.28,2.76,Fail
NU1197,6,1.28,3.18,Fail
NU1198,4,1.93,3.27,Fail
NU1199,3,3.94,2.13,Pass
